suite,prior,Q,mode,ess_abs,ess_signed,ess_inner,chi2,chi2_per_data,n_data,chi2_linear,chi2_bilinear
closure_JAM_truth_small,beta_envelope,mc,lattice,,,,86.8393165902304,1.0097594952352371,86,86.8393165902304,0.0
closure_JAM_truth_small,beta_envelope,mc,dis,,,,156.120414986943,0.988103892322424,158,156.120414986943,0.0
closure_JAM_truth_small,beta_envelope,mc,dy,0.9999982749007491,0.9999982749007491,0.9999903932052887,46.507514664966145,1.7887505640371595,26,37.24980548224331,9.257709182722833
closure_JAM_truth_small,beta_envelope,mc,exp,0.9984597567521613,0.9984597567521613,0.9984583619757408,165.4361987538349,0.9731541103166759,170,156.08101323391102,9.355185519923864
closure_JAM_truth_small,beta_envelope,mc,both,0.9988351403850816,0.9988351403850816,0.9988351403435666,213.98983624486746,0.884255521673006,242,204.59887144087295,9.390964803994503
closure_JAM_truth_small,beta_envelope,1,lattice,,,,165.12254653792164,1.9200296109060655,86,165.12254653792164,0.0
closure_JAM_truth_small,beta_envelope,1,dis,,,,174.9117732869418,1.1070365397907709,158,174.9117732869418,0.0
closure_JAM_truth_small,beta_envelope,1,dy,0.9999993257134495,0.9999993257134495,0.9999931266446636,77.87335061555643,2.9951288698290934,26,67.43206279200976,10.441287823546675
closure_JAM_truth_small,beta_envelope,1,exp,0.9984785690888072,0.9984785690888072,0.9984750670023405,185.37991790188968,1.0904701053052335,170,174.964980783084,10.414937118805689
closure_JAM_truth_small,beta_envelope,1,both,0.9988241286452162,0.9988241286452162,0.9988241285570428,281.5019722138265,1.163231290139779,242,271.11719240387765,10.384779809948817
closure_JAM_truth_small,beta_envelope,2,lattice,,,,52.784938948559216,0.6137783598669676,86,52.784938948559216,0.0
closure_JAM_truth_small,beta_envelope,2,dis,,,,115.18935027950093,0.729046520756335,158,115.18935027950093,0.0
closure_JAM_truth_small,beta_envelope,2,dy,0.9999996071304438,0.9999996071304438,0.9999947326181712,19.7956083251257,0.761369550966373,26,12.32113345483282,7.4744748702928785
closure_JAM_truth_small,beta_envelope,2,exp,0.9983777159658226,0.9983777159658226,0.9983771666451265,122.59897750477711,0.7211704559104536,170,115.15703991258827,7.441937592188829
closure_JAM_truth_small,beta_envelope,2,both,0.9986841889324698,0.9986841889324698,0.9986841889091594,164.9797886580217,0.6817346638761227,242,157.54668302609986,7.433105631921844
closure_JAM_truth_small,beta_envelope,3,lattice,,,,52.83021732979425,0.6143048526720262,86,52.83021732979425,0.0
closure_JAM_truth_small,beta_envelope,3,dis,,,,104.43828417176833,0.6610017985554958,158,104.43828417176833,0.0
closure_JAM_truth_small,beta_envelope,3,dy,0.9999978055366558,0.9999978055366558,0.9999933753968189,13.388607483708512,0.5149464416810966,26,5.88566549840479,7.502941985303723
closure_JAM_truth_small,beta_envelope,3,exp,0.9981640763507769,0.9981640763507769,0.9981637318084075,111.89611709222979,0.6582124534837046,170,104.48826158751683,7.407855504712957
closure_JAM_truth_small,beta_envelope,3,both,0.9984535968391793,0.9984535968391793,0.998453596826448,161.66125459346196,0.6680217131961238,242,154.27690595961647,7.384348633845479
closure_JAM_truth_small,beta_envelope,4,lattice,,,,67.71419821200156,0.7873743978139717,86,67.71419821200156,0.0
closure_JAM_truth_small,beta_envelope,4,dis,,,,113.83316979006504,0.7204630999371205,158,113.83316979006504,0.0
closure_JAM_truth_small,beta_envelope,4,dy,0.9999986109333181,0.9999986109333181,0.9999919644806489,15.72586974047581,0.6048411438644542,26,3.828929454065143,11.896940286410667
closure_JAM_truth_small,beta_envelope,4,exp,0.9981223289462962,0.9981223289462962,0.9981216299867012,125.75063182155525,0.739709598950325,170,113.79731079072151,11.953321030833736
closure_JAM_truth_small,beta_envelope,4,both,0.9980426811971045,0.9980426811971045,0.9980426811899066,196.1001530407428,0.8103312109121604,242,184.13438751485361,11.9657655258892
closure_JAM_truth_small,beta_envelope,5,lattice,,,,34.57687954827898,0.40205673893347654,86,34.57687954827898,0.0
closure_JAM_truth_small,beta_envelope,5,dis,,,,105.5511528970393,0.6680452715002487,158,105.5511528970393,0.0
closure_JAM_truth_small,beta_envelope,5,dy,0.9999987059027605,0.9999987059027605,0.9999937948846725,15.274790023464375,0.587491923979399,26,2.8606406103153392,12.414149413149035
